route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
1727,1,137737,CHATHAM PLAZA,0,12649,13318
1727,1,137738,CHATHAM PLAZA,0,12649,13320
1727,1,137739,CHATHAM PLAZA,0,12650,13320
1727,1,137740,CHATHAM PLAZA,0,12651,13320
1727,1,137741,CHATHAM PLAZA,0,12649,13320
1727,1,137742,CHATHAM PLAZA,0,12650,13320
1727,1,137743,CHATHAM PLAZA,0,12651,13320
1727,1,137744,CHATHAM PLAZA,0,12649,13320
1727,1,137753,CHATHAM PLAZA,0,12651,13321
1727,1,137754,CHATHAM PLAZA,0,12652,13321
1727,1,137755,CHATHAM PLAZA,0,12651,13321
1727,1,137756,CHATHAM PLAZA,0,12652,13321
1727,1,137745,CHATHAM PLAZA,0,12651,13320
1727,1,137746,CHATHAM PLAZA,0,12652,13320
1727,1,137747,CHATHAM PLAZA,0,12651,13320
1727,1,137748,CHATHAM PLAZA,0,12653,13320
1727,1,137749,CHATHAM PLAZA,0,12652,13320
1727,1,137750,CHATHAM PLAZA,0,12651,13320
1727,1,137751,CHATHAM PLAZA,0,12653,13320
1727,1,137752,CHATHAM PLAZA,0,12652,13320
1727,1,137757,CHATHAM PLAZA,0,12653,13321
1727,1,137758,CHATHAM PLAZA,0,12654,13321
1727,1,137779,CHATHAM PLAZA TO DOWNTOWN,1,12649,13322
1727,1,137759,TRANSIT CENTER,1,12651,13323
1727,1,137760,TRANSIT CENTER,1,12649,13323
1727,1,137761,CHATHAM PLAZA TO DOWNTOWN,1,12650,13322
1727,1,137762,TRANSIT CENTER,1,12651,13323
1727,1,137763,TRANSIT CENTER,1,12649,13323
1727,1,137764,CHATHAM PLAZA TO DOWNTOWN,1,12650,13322
1727,1,137765,TRANSIT CENTER,1,12651,13323
1727,1,137766,TRANSIT CENTER,1,12649,13323
1727,1,137781,TRANSIT CENTER,1,12651,13326
1727,1,137778,TRANSIT CENTER,1,12652,13325
1727,1,137767,TRANSIT CENTER,1,12651,13325
1727,1,137768,TRANSIT CENTER,1,12652,13326
1727,1,137771,TRANSIT CENTER,1,12651,13323
1727,1,137780,TRANSIT CENTER,1,12652,13323
1727,1,137769,CHATHAM PLAZA TO DOWNTOWN,1,12651,13322
1727,1,137770,TRANSIT CENTER,1,12653,13323
1727,1,137772,TRANSIT CENTER,1,12652,13323
1727,1,137773,TRANSIT CENTER,1,12651,13323
1727,1,137774,TRANSIT CENTER,1,12653,13323
1727,1,137777,TRANSIT CENTER,1,12652,13323
1727,1,137775,TRANSIT CENTER,1,12653,13325
1727,1,137776,TRANSIT CENTER,1,12654,13325
1728,1,142211,,0,12962,13514
1728,1,142212,,0,12963,13514
1728,1,142213,,0,12962,13514
1728,1,142214,,0,12963,13514
1728,1,142215,,0,12962,13514
1728,1,142216,,0,12963,13514
1728,1,142217,,0,12962,13514
1728,1,142218,,0,12963,13514
1728,1,142219,,0,12962,13514
1728,1,142220,,0,12963,13514
1728,1,142221,,0,12962,13514
1728,1,142222,,0,12963,13514
1728,1,142223,,0,12962,13514
1728,1,142224,,0,12963,13514
1728,1,142225,,0,12962,13514
1728,1,142226,,0,12963,13514
1728,1,142227,,0,12962,13514
1728,1,142228,,0,12963,13514
1728,1,142229,,0,12962,13514
1728,1,142230,,0,12963,13514
1728,1,142231,,0,12962,13514
1728,1,142232,,0,12963,13514
1728,1,142233,,0,12962,13514
1728,1,142234,,0,12963,13514
1728,1,142235,,0,12962,13514
1728,1,142236,,0,12963,13514
1728,1,142237,,0,12962,13514
1728,1,142238,,0,12963,13514
1728,1,142239,,0,12962,13514
1729,1,137996, WALMART ON 17,0,12669,13329
1729,1,137983, WALMART ON 17,0,12668,13329
1729,1,137989,WALMART ON 17,0,12669,13330
1729,1,137984,WALMART ON 17,0,12668,13330
1729,1,137990,WALMART ON 17,0,12669,13330
1729,1,137985,WALMART ON 17,0,12668,13330
1729,1,137991,WALMART ON 17,0,12669,13330
1729,1,137986,WALMART ON 17,0,12668,13330
1729,1,137992,WALMART ON 17,0,12669,13330
1729,1,137987,WALMART ON 17,0,12668,13330
1729,1,137993,WALMART ON 17,0,12669,13330
1729,1,137997,WALMART ON 17,0,12668,13330
1729,1,137994, WALMART ON 17,0,12669,13329
1729,1,137988, WALMART ON 17,0,12668,13329
1729,1,137995, WALMART ON 17,0,12669,13329
1729,1,137998, WALMART ON 17,0,12668,13329
1729,1,137999,HODGSON MEMORIAL,1,12669,13331
1729,1,138000,HODGSON MEMORIAL,1,12668,13332
1729,1,138001,HODGSON MEMORIAL,1,12669,13332
1729,1,138002,HODGSON MEMORIAL,1,12668,13332
1729,1,138003,HODGSON MEMORIAL,1,12669,13332
1729,1,138004,HODGSON MEMORIAL,1,12668,13332
1729,1,138005,HODGSON MEMORIAL,1,12669,13332
1729,1,138006,HODGSON MEMORIAL,1,12668,13332
1729,1,138007,HODGSON MEMORIAL,1,12669,13332
1729,1,138012,HODGSON MEMORIAL,1,12668,13332
1729,1,138008,HODGSON MEMORIAL,1,12669,13332
1729,1,138009,HODGSON MEMORIAL,1,12668,13331
1729,1,138013,HODGSON MEMORIAL,1,12669,13331
1729,1,138010,HODGSON MEMORIAL,1,12668,13331
1729,1,138011,HODGSON MEMORIAL,1,12669,13331
1730,1,138079, PENN WALLER & JOHNNY MERCER,0,12674,13335
1730,1,138080, PENN WALLER & JOHNNY MERCER,0,12675,13335
1730,1,138081, PENN WALLER & JOHNNY MERCER,0,12674,13335
1730,1,138082, PENN WALLER & JOHNNY MERCER,0,12675,13335
1730,1,138083, PENN WALLER & JOHNNY MERCER,0,12674,13335
1730,1,138084, PENN WALLER & JOHNNY MERCER,0,12675,13335
1730,1,138085, PENN WALLER & JOHNNY MERCER,0,12674,13335
1730,1,138086, PENN WALLER & JOHNNY MERCER,0,12675,13335
1730,1,138087, PENN WALLER & JOHNNY MERCER,0,12674,13335
1730,1,138088, PENN WALLER & JOHNNY MERCER,0,12675,13335
1730,1,138089, PENN WALLER & JOHNNY MERCER,0,12674,13335
1730,1,138090, PENN WALLER & JOHNNY MERCER,0,12675,13335
1730,1,138091, PENN WALLER & JOHNNY MERCER,0,12674,13335
1730,1,138092,ISLAND TOWNE CENTRE,0,12675,13334
1730,1,138093,ISLAND TOWNE CENTRE,0,12674,13334
1730,1,138094,GREGORY & RIVERVIEW,0,12674,13333
1730,1,138095,GREGORY & RIVERVIEW,0,12674,13333
1730,1,138109,TRANSIT CENTER,1,12674,13336
1730,1,138111,TRANSIT CENTER,1,12675,13339
1730,1,138096,TRANSIT CENTER,1,12674,13338
1730,1,138097,TRANSIT CENTER,1,12675,13338
1730,1,138098,TRANSIT CENTER,1,12674,13338
1730,1,138099,TRANSIT CENTER,1,12675,13338
1730,1,138100,TRANSIT CENTER,1,12674,13338
1730,1,138101,TRANSIT CENTER,1,12675,13338
1730,1,138102,TRANSIT CENTER,1,12674,13338
1730,1,138103,TRANSIT CENTER,1,12675,13338
1730,1,138104,TRANSIT CENTER,1,12674,13338
1730,1,138105,TRANSIT CENTER,1,12675,13338
1730,1,138106,TRANSIT CENTER,1,12674,13338
1730,1,138107,TRANSIT CENTER,1,12675,13338
1730,1,138112,TRANSIT CENTER,1,12674,13338
1730,1,138108,TRANSIT CENTER,1,12674,13337
1730,1,138110,TRANSIT CENTER,1,12674,13336
1731,1,138121,EISENHOWER,0,12678,13340
1731,1,138122,EISENHOWER,0,12678,13341
1731,1,138123,EISENHOWER,0,12678,13341
1731,1,138124,EISENHOWER,0,12679,13341
1731,1,138125,EISENHOWER,0,12679,13341
1731,1,138126,TRANSIT CENTER,1,12678,13342
1731,1,138127,TRANSIT CENTER,1,12678,13342
1731,1,138128,TRANSIT CENTER,1,12678,13342
1731,1,138129,TRANSIT CENTER,1,12679,13342
1731,1,138130,TRANSIT CENTER,1,12679,13342
1732,1,138222,ISLAND TOWNE CENTRE VIA SSU,0,12954,13343
1732,1,138233,ISLAND TOWNE CENTRE VIA SSU,0,12956,13343
1732,1,138223,ISLAND TOWNE CENTRE VIA SSU,0,12955,13343
1732,1,138211,ISLAND TOWNE CENTRE VIA SSU,0,12957,13343
1732,1,138224,ISLAND TOWNE CENTRE VIA SSU,0,12954,13343
1732,1,138212,ISLAND TOWNE CENTRE VIA SSU,0,12956,13343
1732,1,138225,ISLAND TOWNE CENTRE VIA SSU,0,12955,13343
1732,1,138213,ISLAND TOWNE CENTRE VIA SSU,0,12957,13343
1732,1,138221,ISLAND TOWNE CENTRE VIA SSU,0,12956,13343
1732,1,138214,ISLAND TOWNE CENTRE VIA SSU,0,12957,13343
1732,1,138215,ISLAND TOWNE CENTRE VIA SSU,0,12956,13343
1732,1,138220,ISLAND TOWNE CENTRE VIA SSU,0,12957,13343
1732,1,138216,ISLAND TOWNE CENTRE VIA SSU,0,12956,13343
1732,1,138226,ISLAND TOWNE CENTRE VIA SSU,0,12958,13343
1732,1,138217,ISLAND TOWNE CENTRE VIA SSU,0,12957,13343
1732,1,138227,ISLAND TOWNE CENTRE VIA SSU,0,12959,13343
1732,1,138218,ISLAND TOWNE CENTRE VIA SSU,0,12956,13343
1732,1,138228,ISLAND TOWNE CENTRE VIA SSU,0,12958,13343
1732,1,138219,ISLAND TOWNE CENTRE VIA SSU,0,12957,13343
